"Date","Winner1","Winner Probability","Loser1","Loser Probability","Site","Category","Winner_Actual","Model"
2023-12-09,"St. Louis Blues",0.897936909232978,"Chicago Blackhawks",0.102063090767022,"Playing At:  Chicago Blackhawks   Home","85 <","Chicago Blackhawks",0
2023-12-09,"Colorado Avalanche",0.881429697834314,"Philadelphia Flyers",0.118570302165686,"Playing At:  Colorado Avalanche   Home","85 <","Philadelphia Flyers",0
2023-12-09,"Detroit Red Wings",0.827719379667427,"Ottawa Senators",0.172280620332573,"Playing At:  Detroit Red Wings   Home","80-85","Ottawa Senators",0
2023-12-09,"Calgary Flames",0.808250677566627,"New Jersey Devils",0.191749322433373,"Playing At:  Calgary Flames   Home","80-85","New Jersey Devils",0
2023-12-09,"Carolina Hurricanes",0.729496326616907,"Vancouver Canucks",0.270503673383093,"Playing At:  Vancouver Canucks   Home","70-80","Vancouver Canucks",0
2023-12-09,"Boston Bruins",0.655077249605855,"Arizona Coyotes",0.344922750394145,"Playing At:  Boston Bruins   Home","60-70","Boston Bruins",1
2023-12-09,"Washington Capitals",0.640148632402831,"New York Rangers",0.359851367597169,"Playing At:  Washington Capitals   Home","60-70","Washington Capitals",1
2023-12-09,"Seattle Kraken",0.623367439198033,"Tampa Bay Lightning",0.376632560801967,"Playing At:  Seattle Kraken   Home","60-70","Tampa Bay Lightning",0
2023-12-09,"Los Angeles Kings",0.617038638100152,"New York Islanders",0.382961361899848,"Playing At:  New York Islanders   Home","60-70","New York Islanders",0
2023-12-09,"Nashville Predators",0.615323610856886,"Toronto Maple Leafs",0.384676389143114,"Playing At:  Toronto Maple Leafs   Home","60-70","Toronto Maple Leafs",0
2023-12-09,"Dallas Stars",0.552708028515133,"Vegas Golden Knights",0.447291971484867,"Playing At:  Dallas Stars   Home","55-60","Vegas Golden Knights",0
2023-12-09,"Buffalo Sabres",0.546648178329996,"Montreal Canadiens",0.453351821670004,"Playing At:  Buffalo Sabres   Home","55 >","Montreal Canadiens",0
2023-12-10,"Winnipeg Jets",0.990707891204456,"Anaheim Ducks",0.00929210879554421,"Playing At:  Anaheim Ducks   Home","85 <","Winnipeg Jets",1
2023-12-10,"Washington Capitals",0.877568106792351,"Chicago Blackhawks",0.122431893207649,"Playing At:  Chicago Blackhawks   Home","85 <","Washington Capitals",1
2023-12-10,"Nashville Predators",0.779341772052352,"Montreal Canadiens",0.220658227947648,"Playing At:  Montreal Canadiens   Home","70-80","Nashville Predators",1
2023-12-10,"Seattle Kraken",0.729589897610332,"Minnesota Wild",0.270410102389668,"Playing At:  Seattle Kraken   Home","70-80","Minnesota Wild",0
2023-12-10,"Florida Panthers",0.637498068808027,"Columbus Blue Jackets",0.362501931191973,"Playing At:  Columbus Blue Jackets   Home","60-70","Florida Panthers",1
2023-12-10,"San Jose Sharks",0.637008755134639,"Vegas Golden Knights",0.362991244865361,"Playing At:  Vegas Golden Knights   Home","60-70","Vegas Golden Knights",0
2023-12-10,"Los Angeles Kings",0.529011691447503,"New York Rangers",0.470988308552497,"Playing At:  New York Rangers   Home","55 >","New York Rangers",0
2023-12-10,"Edmonton Oilers",0.524828895152118,"New Jersey Devils",0.475171104847882,"Playing At:  Edmonton Oilers   Home","55 >","Edmonton Oilers",1
2023-12-11,"Dallas Stars",0.865404635119795,"Detroit Red Wings",0.134595364880205,"Playing At:  Dallas Stars   Home","85 <","Dallas Stars",1
2023-12-11,"Arizona Coyotes",0.627552762955305,"Buffalo Sabres",0.372447237044695,"Playing At:  Buffalo Sabres   Home","60-70","Buffalo Sabres",0
2023-12-11,"Colorado Avalanche",0.560790218650038,"Calgary Flames",0.439209781349962,"Playing At:  Colorado Avalanche   Home","55-60","Colorado Avalanche",1
2023-12-11,"New York Islanders",0.504590749642179,"Toronto Maple Leafs",0.495409250357821,"Playing At:  New York Islanders   Home","55 >","New York Islanders",1
2023-12-12,"Arizona Coyotes",0.892418574714327,"Pittsburgh Penguins",0.107581425285673,"Playing At:  Pittsburgh Penguins   Home","85 <","Pittsburgh Penguins",0
2023-12-12,"Edmonton Oilers",0.835607661557727,"Chicago Blackhawks",0.164392338442273,"Playing At:  Edmonton Oilers   Home","80-85","Edmonton Oilers",1
2023-12-12,"Vancouver Canucks",0.798411345265462,"Tampa Bay Lightning",0.201588654734538,"Playing At:  Vancouver Canucks   Home","70-80","Vancouver Canucks",1
2023-12-12,"Winnipeg Jets",0.709874187518921,"San Jose Sharks",0.290125812481079,"Playing At:  San Jose Sharks   Home","70-80","San Jose Sharks",0
2023-12-12,"Calgary Flames",0.704122933032344,"Vegas Golden Knights",0.295877066967656,"Playing At:  Vegas Golden Knights   Home","70-80","Vegas Golden Knights",0
2023-12-12,"New York Rangers",0.675651660599256,"Toronto Maple Leafs",0.324348339400744,"Playing At:  New York Rangers   Home","60-70","Toronto Maple Leafs",0
2023-12-12,"Carolina Hurricanes",0.624798423085861,"Ottawa Senators",0.375201576914139,"Playing At:  Ottawa Senators   Home","60-70","Carolina Hurricanes",1
2023-12-12,"Florida Panthers",0.568268370664574,"Seattle Kraken",0.431731629335426,"Playing At:  Seattle Kraken   Home","55-60","Seattle Kraken",0
2023-12-12,"St. Louis Blues",0.560344494257164,"Detroit Red Wings",0.439655505742836,"Playing At:  St. Louis Blues   Home","55-60","Detroit Red Wings",0
2023-12-12,"Nashville Predators",0.55631664306893,"Philadelphia Flyers",0.44368335693107,"Playing At:  Nashville Predators   Home","55-60","Nashville Predators",1
2023-12-13,"Colorado Avalanche",0.97438003889611,"Buffalo Sabres",0.0256199611038896,"Playing At:  Colorado Avalanche   Home","85 <","Colorado Avalanche",1
2023-12-13,"New York Islanders",0.941185126082214,"Anaheim Ducks",0.0588148739177864,"Playing At:  New York Islanders   Home","85 <","New York Islanders",1
2023-12-13,"Los Angeles Kings",0.60540112022213,"Winnipeg Jets",0.39459887977787,"Playing At:  Los Angeles Kings   Home","60-70","Winnipeg Jets",0
2023-12-13,"Montreal Canadiens",0.521372998055725,"Pittsburgh Penguins",0.478627001944275,"Playing At:  Montreal Canadiens   Home","55 >","Pittsburgh Penguins",0
2023-12-13,"New Jersey Devils",0.514246875190223,"Boston Bruins",0.485753124809777,"Playing At:  New Jersey Devils   Home","55 >","New Jersey Devils",1
2023-12-14,"Calgary Flames",0.965672744394207,"Minnesota Wild",0.034327255605793,"Playing At:  Minnesota Wild   Home","85 <","Minnesota Wild",0
2023-12-14,"Detroit Red Wings",0.930729859340921,"Carolina Hurricanes",0.0692701406590785,"Playing At:  Detroit Red Wings   Home","85 <","Carolina Hurricanes",0
2023-12-14,"Seattle Kraken",0.854794079045778,"Chicago Blackhawks",0.145205920954222,"Playing At:  Seattle Kraken   Home","85 <","Seattle Kraken",1
2023-12-14,"Philadelphia Flyers",0.72387316155221,"Washington Capitals",0.27612683844779,"Playing At:  Philadelphia Flyers   Home","70-80","Philadelphia Flyers",1
2023-12-14,"St. Louis Blues",0.720670782842444,"Ottawa Senators",0.279329217157556,"Playing At:  St. Louis Blues   Home","70-80","St. Louis Blues",1
2023-12-14,"Edmonton Oilers",0.719927743342037,"Tampa Bay Lightning",0.280072256657963,"Playing At:  Edmonton Oilers   Home","70-80","Tampa Bay Lightning",0
2023-12-14,"Florida Panthers",0.698103000172495,"Vancouver Canucks",0.301896999827505,"Playing At:  Vancouver Canucks   Home","60-70","Vancouver Canucks",0
2023-12-14,"Toronto Maple Leafs",0.584315775088777,"Columbus Blue Jackets",0.415684224911223,"Playing At:  Toronto Maple Leafs   Home","55-60","Columbus Blue Jackets",0
2023-12-15,"New York Rangers",0.971359925195424,"Anaheim Ducks",0.0286400748045764,"Playing At:  New York Rangers   Home","85 <","New York Rangers",1
2023-12-15,"Carolina Hurricanes",0.825340837305409,"Nashville Predators",0.174659162694591,"Playing At:  Carolina Hurricanes   Home","80-85","Nashville Predators",0
2023-12-15,"Arizona Coyotes",0.706591407009572,"San Jose Sharks",0.293408592990428,"Playing At:  Arizona Coyotes   Home","70-80","Arizona Coyotes",1
2023-12-15,"Dallas Stars",0.631152248864782,"Ottawa Senators",0.368847751135218,"Playing At:  Dallas Stars   Home","60-70","Dallas Stars",1
2023-12-15,"New York Islanders",0.545134831631723,"Boston Bruins",0.454865168368277,"Playing At:  New York Islanders   Home","55 >","Boston Bruins",0
