Date,Team,hot_score,Num_Games,Num_Wins,GF_Team,GA_Team,Win_Percentage,Avg_GF_League,Avg_GA_League,Win % - Avg League Win %,GF - League Avg GF,Neg GA - League Avg GA
2024-04-12,Carolina Hurricanes,3,6,5,3.33,1.5,0.83,3.11,3.11,0.33,0.22,1.61
2024-04-11,Toronto Maple Leafs,2.38,8,6,4,2.62,0.75,3.04,3.04,0.25,0.96,0.41
2024-04-11,Dallas Stars,2.36,7,5,3.29,1.86,0.71,3.04,3.04,0.21,0.25,1.18
2024-04-11,Pittsburgh Penguins,2.25,8,6,4.25,3,0.75,3.04,3.04,0.25,1.21,0.04
2024-04-11,New York Islanders,2.12,8,7,2.88,2,0.88,3.04,3.04,0.38,-0.16,1.04
2024-04-12,Edmonton Oilers,1.79,7,4,3.57,2.43,0.57,3.11,3.11,0.07,0.46,0.68
2024-04-11,Winnipeg Jets,1.79,7,5,3.29,2.43,0.71,3.04,3.04,0.21,0.25,0.61
2024-04-11,Tampa Bay Lightning,1.79,7,4,4,2.86,0.57,3.04,3.04,0.07,0.96,0.18
2024-04-09,Boston Bruins,1.5,7,5,2.71,2.14,0.71,3.08,3.08,0.21,-0.37,0.94
2024-04-11,Florida Panthers,1.38,8,4,3.25,2.38,0.5,3.04,3.04,0,0.21,0.66
2024-04-11,Buffalo Sabres,1.36,7,4,3.14,2.43,0.57,3.04,3.04,0.07,0.1,0.61
2024-04-11,Seattle Kraken,1.07,7,4,2.71,2.29,0.57,3.04,3.04,0.07,-0.32,0.75
2024-04-11,New York Rangers,0.88,8,5,3.62,3.5,0.62,3.04,3.04,0.12,0.59,-0.46
2024-04-11,Los Angeles Kings,0.75,8,4,3,2.75,0.5,3.04,3.04,0,-0.04,0.29
2024-04-12,Vegas Golden Knights,0.67,6,3,3.83,3.67,0.5,3.11,3.11,0,0.72,-0.56
2024-04-12,Arizona Coyotes,0.5,7,4,3.57,3.71,0.57,3.11,3.11,0.07,0.46,-0.61
2024-04-12,Nashville Predators,0.21,7,3,3,3.14,0.43,3.11,3.11,-0.07,-0.11,-0.03
2024-04-11,Montreal Canadiens,0.12,8,3,3.5,3.62,0.38,3.04,3.04,-0.12,0.46,-0.59
2024-04-11,San Jose Sharks,0,8,3,2.25,2.5,0.38,3.04,3.04,-0.12,-0.79,0.54
2024-04-09,Colorado Avalanche,-0.12,8,3,3.38,3.75,0.38,3.08,3.08,-0.12,0.29,-0.67
2024-04-11,Ottawa Senators,-0.12,8,4,2,2.62,0.5,3.04,3.04,0,-1.04,0.41
2024-04-12,Calgary Flames,-0.21,7,3,3,3.57,0.43,3.11,3.11,-0.07,-0.11,-0.46
2024-04-11,Columbus Blue Jackets,-0.38,8,3,2.5,3.12,0.38,3.04,3.04,-0.12,-0.54,-0.09
2024-04-11,Detroit Red Wings,-0.5,7,2,2.57,3.14,0.29,3.04,3.04,-0.21,-0.47,-0.1
2024-04-12,St. Louis Blues,-0.5,7,3,3,3.86,0.43,3.11,3.11,-0.07,-0.11,-0.75
2024-04-10,Vancouver Canucks,-0.5,7,3,2.71,3.57,0.43,3.05,3.05,-0.07,-0.33,-0.52
2024-04-12,Chicago Blackhawks,-1,6,2,2,3.17,0.33,3.11,3.11,-0.17,-1.11,-0.06
2024-04-12,Anaheim Ducks,-1.07,7,2,2.86,4,0.29,3.11,3.11,-0.21,-0.25,-0.89
2024-04-12,Minnesota Wild,-1.21,7,2,2.29,3.57,0.29,3.11,3.11,-0.21,-0.82,-0.46
2024-04-11,New Jersey Devils,-1.21,7,2,3.14,4.43,0.29,3.04,3.04,-0.21,0.1,-1.39
2024-04-11,Washington Capitals,-2.25,8,1,1.75,3.75,0.12,3.04,3.04,-0.38,-1.29,-0.71
2024-04-11,Philadelphia Flyers,-2.64,7,1,2.29,4.71,0.14,3.04,3.04,-0.36,-0.75,-1.68
