Team,ESPN_Rank
New York Rangers,1
Boston Bruins,2
Vegas Golden Knights,3
Los Angeles Kings,4
Vancouver Canucks,5
Dallas Stars,6
Toronto Maple Leafs,7
Winnipeg Jets,8
Colorado Avalanche,9
Philadelphia Flyers,10
Florida Panthers,11
New York Islanders,12
Washington Capitals,13
Carolina Hurricanes,14
New Jersey Devils,15
Nashville Predators,16
Tampa Bay Lightning,17
Arizona Coyotes,18
Detroit Red Wings,19
Montreal Canadiens,20
Pittsburgh Penguins,21
St. Louis Blues,22
Minnesota Wild,23
Edmonton Oilers,24
Calgary Flames,25
Buffalo Sabres,26
Seattle Kraken,27
Columbus Blue Jackets,28
Ottawa Senators,29
Anaheim Ducks,30
Chicago Blackhawks,31
San Jose Sharks,32
