Date,Visitor,G,Home,G,,Att.,LOG,Notes
1/25/2024,New Jersey Devils,,Carolina Hurricanes,,,,,
1/25/2024,Columbus Blue Jackets,,Calgary Flames,,,,,
1/25/2024,Anaheim Ducks,,Dallas Stars,,,,,
1/25/2024,Philadelphia Flyers,,Detroit Red Wings,,,,,
1/25/2024,Chicago Blackhawks,,Edmonton Oilers,,,,,
1/25/2024,Nashville Predators,,Minnesota Wild,,,,,
1/25/2024,New York Islanders,,Montreal Canadiens,,,,,
1/25/2024,Boston Bruins,,Ottawa Senators,,,,,
1/25/2024,Arizona Coyotes,,Tampa Bay Lightning,,,,,
1/26/2024,Los Angeles Kings,,Colorado Avalanche,,,,,
1/26/2024,Vegas Golden Knights,,New York Rangers,,,,,
1/26/2024,Florida Panthers,,Pittsburgh Penguins,,,,,
1/26/2024,St. Louis Blues,,Seattle Kraken,,,,,
1/27/2024,Arizona Coyotes,,Carolina Hurricanes,,,,,
1/27/2024,Chicago Blackhawks,,Calgary Flames,,,,,
1/27/2024,Washington Capitals,,Dallas Stars,,,,,
1/27/2024,Vegas Golden Knights,,Detroit Red Wings,,,,,
1/27/2024,Nashville Predators,,Edmonton Oilers,,,,,
1/27/2024,Anaheim Ducks,,Minnesota Wild,,,,,
1/27/2024,Florida Panthers,,New York Islanders,,,,,
1/27/2024,New York Rangers,,Ottawa Senators,,,,,
1/27/2024,Boston Bruins,,Philadelphia Flyers,,,,,
1/27/2024,Montreal Canadiens,,Pittsburgh Penguins,,,,,
1/27/2024,Buffalo Sabres,,San Jose Sharks,,,,,
1/27/2024,New Jersey Devils,,Tampa Bay Lightning,,,,,
1/27/2024,Columbus Blue Jackets,,Vancouver Canucks,,,,,
1/27/2024,Toronto Maple Leafs,,Winnipeg Jets,,,,,
1/28/2024,Columbus Blue Jackets,,Seattle Kraken,,,,,
1/28/2024,Los Angeles Kings,,St. Louis Blues,,,,,
1/29/2024,Nashville Predators,,Ottawa Senators,,,,,
1/30/2024,Seattle Kraken,,San Jose Sharks,,,,,
1/30/2024,Columbus Blue Jackets,,St. Louis Blues,,,,,
1/31/2024,San Jose Sharks,,Anaheim Ducks,,,,,
1/31/2024,Ottawa Senators,,Detroit Red Wings,,,,,
1/31/2024,Los Angeles Kings,,Nashville Predators,,,,,
2/5/2024,Colorado Avalanche,,New York Rangers,,,,,
2/5/2024,New York Islanders,,Toronto Maple Leafs,,,,,
2/6/2024,Calgary Flames,,Boston Bruins,,,,,
2/6/2024,Dallas Stars,,Buffalo Sabres,,,,,
2/6/2024,Vancouver Canucks,,Carolina Hurricanes,,,,,
2/6/2024,Philadelphia Flyers,,Florida Panthers,,,,,
2/6/2024,Colorado Avalanche,,New Jersey Devils,,,,,
2/6/2024,Winnipeg Jets,,Pittsburgh Penguins,,,,,
2/6/2024,Edmonton Oilers,,Vegas Golden Knights,,,,,
2/6/2024,Montreal Canadiens,,Washington Capitals,,,,,
2/7/2024,Minnesota Wild,,Chicago Blackhawks,,,,,
2/7/2024,Tampa Bay Lightning,,New York Rangers,,,,,
2/7/2024,Dallas Stars,,Toronto Maple Leafs,,,,,
2/8/2024,Vegas Golden Knights,,Arizona Coyotes,,,,,
2/8/2024,Vancouver Canucks,,Boston Bruins,,,,,
2/8/2024,Colorado Avalanche,,Carolina Hurricanes,,,,,
2/8/2024,Washington Capitals,,Florida Panthers,,,,,
2/8/2024,Calgary Flames,,New Jersey Devils,,,,,
2/8/2024,Tampa Bay Lightning,,New York Islanders,,,,,
2/8/2024,Winnipeg Jets,,Philadelphia Flyers,,,,,
2/9/2024,Edmonton Oilers,,Anaheim Ducks,,,,,
2/9/2024,New York Rangers,,Chicago Blackhawks,,,,,
2/9/2024,Pittsburgh Penguins,,Minnesota Wild,,,,,
2/10/2024,Washington Capitals,,Boston Bruins,,,,,
2/10/2024,St. Louis Blues,,Buffalo Sabres,,,,,
2/10/2024,New Jersey Devils,,Carolina Hurricanes,,,,,
2/10/2024,Tampa Bay Lightning,,Columbus Blue Jackets,,,,,
2/10/2024,Vancouver Canucks,,Detroit Red Wings,,,,,
2/10/2024,Colorado Avalanche,,Florida Panthers,,,,,
2/10/2024,Edmonton Oilers,,Los Angeles Kings,,,,,
2/10/2024,Dallas Stars,,Montreal Canadiens,,,,,
2/10/2024,Arizona Coyotes,,Nashville Predators,,,,,
2/10/2024,Calgary Flames,,New York Islanders,,,,,
2/10/2024,Toronto Maple Leafs,,Ottawa Senators,,,,,
2/10/2024,Seattle Kraken,,Philadelphia Flyers,,,,,
2/10/2024,Pittsburgh Penguins,,Winnipeg Jets,,,,,
2/11/2024,St. Louis Blues,,Montreal Canadiens,,,,,
2/11/2024,Vancouver Canucks,,Washington Capitals,,,,,
2/12/2024,Seattle Kraken,,New Jersey Devils,,,,,
2/12/2024,Calgary Flames,,New York Rangers,,,,,
2/12/2024,Arizona Coyotes,,Philadelphia Flyers,,,,,
2/12/2024,Minnesota Wild,,Vegas Golden Knights,,,,,
2/13/2024,Tampa Bay Lightning,,Boston Bruins,,,,,
2/13/2024,Los Angeles Kings,,Buffalo Sabres,,,,,
2/13/2024,Vancouver Canucks,,Chicago Blackhawks,,,,,
2/13/2024,Carolina Hurricanes,,Dallas Stars,,,,,
2/13/2024,Detroit Red Wings,,Edmonton Oilers,,,,,
2/13/2024,Anaheim Ducks,,Montreal Canadiens,,,,,
2/13/2024,New Jersey Devils,,Nashville Predators,,,,,
