Team,Min_Date,Num_Games,Light_Days,Heavy_Days,Score,Next_Week_Num_Games,Next_Week_Light_Days,Next_Week_Score,Two_Week_Num_Games,Two_Week_Light_Days,Two_Week_Score,Three_Week_Num_Games,Three_Week_Light_Days,Three_Week_Score,Total_Score,Total_Games,Total_Light_Games,Score_Rank,Games_Rank,Light_Rank,Total_Rank
Seattle Kraken,2024-03-18,4,3,1,9,3,0,4.5,3,3,7.5,4,1,7,28,14,7,32,28,30,90
Arizona Coyotes,2024-03-18,3,3,0,7.5,3,0,4.5,3,2,6.5,4,3,9,27.5,13,8,31,7,32,70
Washington Capitals,2024-03-18,4,4,0,10,3,0,4.5,4,2,8,3,0,4.5,27,14,6,29,28,26,83
Edmonton Oilers,2024-03-18,4,1,3,7,3,0,4.5,4,3,9,3,2,6.5,27,14,6,29,28,26,83
Vegas Golden Knights,2024-03-18,3,0,3,4.5,4,1,7,2,2,5,4,4,10,26.5,13,7,28,7,30,65
Toronto Maple Leafs,2024-03-18,4,2,2,8,3,0,4.5,3,2,6.5,4,1,7,26,14,5,27,28,19,74
Buffalo Sabres,2024-03-18,4,2,2,8,3,2,6.5,3,2,6.5,3,0,4.5,25.5,13,6,26,7,26,59
Carolina Hurricanes,2024-03-18,4,2,2,8,3,0,4.5,3,1,5.5,3,2,6.5,24.5,13,5,20,7,19,46
Calgary Flames,2024-03-18,3,2,1,6.5,3,0,4.5,3,1,5.5,4,2,8,24.5,13,5,20,7,19,46
Colorado Avalanche,2024-03-18,3,2,1,6.5,3,0,4.5,4,2,8,3,1,5.5,24.5,13,5,20,7,19,46
Pittsburgh Penguins,2024-03-18,3,2,1,6.5,3,0,4.5,4,2,8,3,1,5.5,24.5,13,5,20,7,19,46
Anaheim Ducks,2024-03-18,3,1,2,5.5,4,1,7,3,2,6.5,3,1,5.5,24.5,13,5,20,7,19,46
St. Louis Blues,2024-03-18,3,0,3,4.5,3,1,5.5,4,1,7,3,3,7.5,24.5,13,5,20,7,19,46
Ottawa Senators,2024-03-18,4,1,3,7,3,1,5.5,4,1,7,3,0,4.5,24,14,3,18,28,8,54
Vancouver Canucks,2024-03-18,3,0,3,4.5,3,2,6.5,3,2,6.5,3,2,6.5,24,12,6,18,2,26,46
New Jersey Devils,2024-03-18,4,1,3,7,2,1,4,4,2,8,3,0,4.5,23.5,13,4,15,7,14,36
Tampa Bay Lightning,2024-03-18,4,1,3,7,2,1,4,4,2,8,3,0,4.5,23.5,13,4,15,7,14,36
Los Angeles Kings,2024-03-18,3,1,2,5.5,3,1,5.5,4,2,8,3,0,4.5,23.5,13,4,15,7,14,36
New York Islanders,2024-03-18,4,1,3,7,2,0,3,4,2,8,3,0,4.5,22.5,13,3,11,7,8,26
Philadelphia Flyers,2024-03-18,4,1,3,7,3,0,4.5,3,2,6.5,3,0,4.5,22.5,13,3,11,7,8,26
Florida Panthers,2024-03-18,3,1,2,5.5,3,0,4.5,4,2,8,3,0,4.5,22.5,13,3,11,7,8,26
New York Rangers,2024-03-18,3,0,3,4.5,3,0,4.5,4,3,9,3,0,4.5,22.5,13,3,11,7,8,26
Dallas Stars,2024-03-18,3,3,0,7.5,3,0,4.5,3,1,5.5,3,0,4.5,22,12,4,9,2,14,25
Chicago Blackhawks,2024-03-18,3,0,3,4.5,3,0,4.5,3,1,5.5,3,3,7.5,22,12,4,9,2,14,25
Winnipeg Jets,2024-03-18,4,1,3,7,3,0,4.5,3,1,5.5,3,0,4.5,21.5,13,2,5,7,2,14
Columbus Blue Jackets,2024-03-18,3,1,2,5.5,3,0,4.5,4,1,7,3,0,4.5,21.5,13,2,5,7,2,14
Montreal Canadiens,2024-03-18,3,1,2,5.5,3,0,4.5,4,1,7,3,0,4.5,21.5,13,2,5,7,2,14
Nashville Predators,2024-03-18,3,0,3,4.5,3,0,4.5,4,1,7,3,1,5.5,21.5,13,2,5,7,2,14
Minnesota Wild,2024-03-18,3,1,2,5.5,2,0,3,4,1,7,3,1,5.5,21,12,3,4,2,8,14
San Jose Sharks,2024-03-18,3,0,3,4.5,3,0,4.5,4,1,7,3,0,4.5,20.5,13,1,3,7,1,11
Detroit Red Wings,2024-03-18,3,0,3,4.5,3,0,4.5,3,2,6.5,3,0,4.5,20,12,2,2,2,2,6
Boston Bruins,2024-03-18,3,0,3,4.5,3,1,5.5,3,1,5.5,2,0,3,18.5,11,2,1,1,2,4
