Date,Visitor,G,Home,G,,Att.,LOG,Notes
10/4/2024,New Jersey Devils,4,Buffalo Sabres,1,,16913,2:27,at O2 Arena (Prague CZ)
10/5/2024,Buffalo Sabres,1,New Jersey Devils,3,,16722,2:26,at O2 Arena (Prague CZ)
10/8/2024,Boston Bruins,4,Florida Panthers,6,,19813,2:39,
10/8/2024,St. Louis Blues,3,Seattle Kraken,2,,17151,2:37,
10/8/2024,Chicago Blackhawks,2,Utah Hockey Club,5,,11131,2:30,
10/9/2024,Winnipeg Jets,6,Edmonton Oilers,0,,18347,2:18,
10/9/2024,Toronto Maple Leafs,0,Montreal Canadiens,1,,21105,2:18,
10/9/2024,New York Rangers,6,Pittsburgh Penguins,0,,18190,2:29,
10/9/2024,Calgary Flames,6,Vancouver Canucks,5,OT,18850,2:44,
10/9/2024,Colorado Avalanche,4,Vegas Golden Knights,8,,18388,2:27,
10/10/2024,Montreal Canadiens,4,Boston Bruins,6,,17850,2:44,
10/10/2024,Los Angeles Kings,3,Buffalo Sabres,1,,19070,2:38,
10/10/2024,Pittsburgh Penguins,6,Detroit Red Wings,3,,19515,2:36,
10/10/2024,Columbus Blue Jackets,2,Minnesota Wild,3,,18613,2:29,
10/10/2024,Toronto Maple Leafs,4,New Jersey Devils,2,,16764,2:24,
10/10/2024,Dallas Stars,4,Nashville Predators,3,,17544,2:32,
10/10/2024,Utah Hockey Club,5,New York Islanders,4,OT,17255,2:41,
10/10/2024,Florida Panthers,1,Ottawa Senators,3,,19346,2:22,
10/10/2024,St. Louis Blues,5,San Jose Sharks,4,OT,17435,2:32,
10/11/2024,Tampa Bay Lightning,4,Carolina Hurricanes,1,,18817,2:35,
10/11/2024,Philadelphia Flyers,3,Vancouver Canucks,2,SO,18875,2:47,
10/11/2024,St. Louis Blues,3,Vegas Golden Knights,4,,17861,2:25,
10/11/2024,Chicago Blackhawks,1,Winnipeg Jets,2,OT,14564,2:26,
10/12/2024,Los Angeles Kings,1,Boston Bruins,2,OT,17850,2:28,
10/12/2024,Florida Panthers,2,Buffalo Sabres,5,,16644,2:27,
10/12/2024,Philadelphia Flyers,3,Calgary Flames,6,,19289,2:38,
10/12/2024,Columbus Blue Jackets,6,Colorado Avalanche,4,,18080,2:35,
10/12/2024,New York Islanders,0,Dallas Stars,3,,18532,2:25,
10/12/2024,Nashville Predators,0,Detroit Red Wings,3,,19515,2:37,
10/12/2024,Chicago Blackhawks,5,Edmonton Oilers,2,,18347,2:28,
10/12/2024,Seattle Kraken,5,Minnesota Wild,4,SO,18421,2:43,
10/12/2024,Ottawa Senators,1,Montreal Canadiens,4,,21105,2:31,
10/12/2024,Utah Hockey Club,6,New York Rangers,5,OT,18006,2:45,
10/12/2024,Anaheim Ducks,2,San Jose Sharks,0,,17016,2:28,
10/12/2024,Pittsburgh Penguins,2,Toronto Maple Leafs,4,,18934,2:21,
10/12/2024,New Jersey Devils,5,Washington Capitals,3,,18573,2:31,
10/13/2024,Seattle Kraken,0,Dallas Stars,2,,18532,2:23,
10/13/2024,Calgary Flames,4,Edmonton Oilers,1,,18347,2:29,
10/13/2024,Anaheim Ducks,1,Vegas Golden Knights,3,,18027,2:19,
10/13/2024,Minnesota Wild,1,Winnipeg Jets,2,OT,12916,2:28,
10/14/2024,Florida Panthers,4,Boston Bruins,3,,17850,2:36,
10/14/2024,New York Islanders,6,Colorado Avalanche,2,,18017,2:41,
10/14/2024,Pittsburgh Penguins,6,Montreal Canadiens,3,,21105,2:22,
10/14/2024,Utah Hockey Club,0,New Jersey Devils,3,,16514,2:20,
10/14/2024,Detroit Red Wings,1,New York Rangers,4,,17510,2:35,
10/14/2024,Los Angeles Kings,7,Ottawa Senators,8,OT,16788,2:49,
10/15/2024,New Jersey Devils,2,Carolina Hurricanes,4,,18700,2:24,
10/15/2024,Florida Panthers,4,Columbus Blue Jackets,3,,18484,2:27,
10/15/2024,Chicago Blackhawks,1,Calgary Flames,3,,16242,2:27,
10/15/2024,San Jose Sharks,2,Dallas Stars,3,SO,18532,2:36,
10/15/2024,Philadelphia Flyers,3,Edmonton Oilers,4,OT,18347,2:46,
10/15/2024,Seattle Kraken,7,Nashville Predators,3,,17159,2:34,
10/15/2024,Minnesota Wild,4,St. Louis Blues,1,,18096,2:25,
10/15/2024,Vancouver Canucks,1,Tampa Bay Lightning,4,,19092,2:28,
10/15/2024,Vegas Golden Knights,2,Washington Capitals,4,,16727,2:28,
10/16/2024,Utah Hockey Club,4,Anaheim Ducks,5,OT,17245,2:44,
10/16/2024,Boston Bruins,5,Colorado Avalanche,3,,18024,2:34,
10/16/2024,Buffalo Sabres,5,Pittsburgh Penguins,6,OT,15644,2:42,
10/16/2024,Los Angeles Kings,2,Toronto Maple Leafs,6,,18852,2:29,
10/17/2024,Buffalo Sabres,4,Columbus Blue Jackets,6,,16126,2:25,
10/17/2024,San Jose Sharks,2,Chicago Blackhawks,4,,19056,2:26,
10/17/2024,New York Rangers,5,Detroit Red Wings,2,,19515,2:33,
10/17/2024,Vancouver Canucks,3,Florida Panthers,2,OT,17865,2:40,
10/17/2024,Los Angeles Kings,4,Montreal Canadiens,1,,21105,2:30,
10/17/2024,Edmonton Oilers,4,Nashville Predators,2,,17159,2:39,
10/17/2024,New Jersey Devils,3,Ottawa Senators,1,,15192,2:21,
10/17/2024,Philadelphia Flyers,4,Seattle Kraken,6,,17151,2:31,
10/17/2024,New York Islanders,0,St. Louis Blues,1,OT,17109,2:20,
10/17/2024,Vegas Golden Knights,3,Tampa Bay Lightning,4,,19092,2:22,
10/17/2024,Dallas Stars,2,Washington Capitals,3,,17034,2:33,
10/18/2024,Anaheim Ducks,3,Colorado Avalanche,4,OT,18071,2:37,
10/18/2024,Carolina Hurricanes,4,Pittsburgh Penguins,1,,17074,2:24,
10/18/2024,San Jose Sharks,3,Winnipeg Jets,8,,13422,2:23,
10/19/2024,Minnesota Wild,3,Columbus Blue Jackets,1,,16876,2:25,
10/19/2024,Buffalo Sabres,4,Chicago Blackhawks,2,,18773,2:27,
10/19/2024,Edmonton Oilers,1,Dallas Stars,4,,18532,2:25,
10/19/2024,Vegas Golden Knights,3,Florida Panthers,4,OT,19572,2:35,
10/19/2024,Washington Capitals,6,New Jersey Devils,5,OT,16514,2:42,
10/19/2024,Detroit Red Wings,5,Nashville Predators,2,,17159,2:39,
